user_id,event_date,converted,variant,signup_month,event_month
103,2024-01-11,0,variant,2024-01,2024-01
436,2024-01-29,0,control,2024-01,2024-01
861,2024-01-11,0,variant,2024-01,2024-01
271,2024-04-02,0,variant,2024-03,2024-04
107,2024-04-14,0,variant,2024-04,2024-04
72,2024-04-18,0,control,2024-04,2024-04
701,2024-04-20,0,control,2024-04,2024-04
21,2024-02-13,0,control,2024-02,2024-02
615,2024-04-30,0,variant,2024-04,2024-04
122,2024-05-02,0,variant,2024-04,2024-05
467,2024-02-09,0,control,2024-01,2024-02
215,2024-05-08,0,variant,2024-04,2024-05
331,2024-04-22,0,variant,2024-04,2024-04
459,2024-06-16,0,control,2024-06,2024-06
88,2024-06-28,0,variant,2024-06,2024-06
373,2024-01-16,0,variant,2024-01,2024-01
100,2024-06-11,1,control,2024-06,2024-06
872,2024-05-07,1,variant,2024-04,2024-05
664,2024-06-05,0,control,2024-05,2024-06
131,2024-03-19,0,variant,2024-03,2024-03
662,2024-04-14,0,variant,2024-04,2024-04
309,2024-02-21,0,variant,2024-02,2024-02
770,2024-04-18,0,control,2024-04,2024-04
344,2024-04-13,0,control,2024-03,2024-04
492,2024-06-14,0,control,2024-06,2024-06
414,2024-05-24,1,variant,2024-05,2024-05
806,2024-03-08,0,control,2024-02,2024-03
386,2024-06-15,0,variant,2024-06,2024-06
192,2024-06-11,0,control,2024-06,2024-06
956,2024-05-31,0,control,2024-04,2024-05
277,2024-06-14,0,control,2024-06,2024-06
161,2024-02-23,0,variant,2024-02,2024-02
460,2024-01-24,0,variant,2024-01,2024-01
314,2024-04-14,0,control,2024-04,2024-04
22,2024-03-30,0,control,2024-03,2024-03
253,2024-03-28,0,variant,2024-03,2024-03
748,2024-05-10,0,control,2024-03,2024-05
857,2024-04-05,0,variant,2024-03,2024-04
561,2024-02-21,0,variant,2024-02,2024-02
475,2024-03-12,0,variant,2024-03,2024-03
59,2024-02-23,0,variant,2024-02,2024-02
511,2024-02-27,0,variant,2024-02,2024-02
682,2024-04-07,0,variant,2024-04,2024-04
476,2024-04-14,0,variant,2024-04,2024-04
700,2024-03-30,0,variant,2024-03,2024-03
976,2024-04-14,0,control,2024-04,2024-04
783,2024-06-26,0,control,2024-06,2024-06
190,2024-04-05,0,control,2024-03,2024-04
958,2024-05-05,0,variant,2024-05,2024-05
687,2024-01-26,0,variant,2024-01,2024-01
958,2024-05-15,0,control,2024-05,2024-05
563,2024-04-27,1,control,2024-04,2024-04
876,2024-02-04,0,control,2024-02,2024-02
567,2024-04-06,1,variant,2024-03,2024-04
244,2024-02-05,0,variant,2024-01,2024-02
832,2024-05-23,0,variant,2024-05,2024-05
505,2024-05-02,0,control,2024-05,2024-05
131,2024-03-27,0,variant,2024-03,2024-03
485,2024-01-11,0,control,2024-01,2024-01
819,2024-05-14,0,variant,2024-04,2024-05
647,2024-06-28,0,control,2024-06,2024-06
21,2024-02-17,0,control,2024-02,2024-02
841,2024-06-19,1,control,2024-06,2024-06
167,2024-06-14,1,control,2024-06,2024-06
274,2024-03-05,0,variant,2024-02,2024-03
388,2024-05-01,0,control,2024-04,2024-05
601,2024-02-25,0,control,2024-02,2024-02
316,2024-01-19,0,variant,2024-01,2024-01
14,2024-02-24,0,variant,2024-02,2024-02
242,2024-02-23,0,control,2024-02,2024-02
777,2024-01-30,0,variant,2024-01,2024-01
346,2024-04-20,1,variant,2024-03,2024-04
565,2024-05-02,0,control,2024-04,2024-05
898,2024-04-28,0,control,2024-04,2024-04
340,2024-04-13,0,control,2024-04,2024-04
92,2024-03-21,0,variant,2024-02,2024-03
367,2024-06-11,0,control,2024-06,2024-06
956,2024-05-07,0,control,2024-04,2024-05
455,2024-04-21,0,variant,2024-04,2024-04
428,2024-04-24,1,variant,2024-04,2024-04
509,2024-01-28,0,control,2024-01,2024-01
776,2024-04-04,0,variant,2024-04,2024-04
943,2024-06-10,0,control,2024-06,2024-06
35,2024-03-22,0,control,2024-03,2024-03
206,2024-02-26,0,variant,2024-02,2024-02
81,2024-02-22,0,variant,2024-02,2024-02
932,2024-05-29,0,control,2024-05,2024-05
562,2024-04-08,1,variant,2024-03,2024-04
872,2024-04-25,0,variant,2024-04,2024-04
388,2024-04-24,0,control,2024-04,2024-04
2,2024-05-05,0,variant,2024-05,2024-05
390,2024-04-11,0,control,2024-03,2024-04
566,2024-03-09,0,variant,2024-03,2024-03
106,2024-02-11,0,variant,2024-01,2024-02
772,2024-03-23,0,control,2024-03,2024-03
822,2024-07-12,0,control,2024-06,2024-07
477,2024-02-29,0,control,2024-02,2024-02
703,2024-06-17,0,control,2024-06,2024-06
402,2024-03-01,0,control,2024-02,2024-03
730,2024-05-29,0,control,2024-05,2024-05
556,2024-04-03,0,variant,2024-03,2024-04
162,2024-02-19,0,control,2024-02,2024-02
202,2024-05-16,0,variant,2024-05,2024-05
958,2024-05-07,0,variant,2024-05,2024-05
996,2024-04-23,0,control,2024-04,2024-04
270,2024-01-07,0,variant,2024-01,2024-01
863,2024-05-09,0,control,2024-04,2024-05
816,2024-05-13,0,control,2024-05,2024-05
271,2024-04-03,0,variant,2024-03,2024-04
456,2024-02-09,0,control,2024-01,2024-02
462,2024-01-19,0,variant,2024-01,2024-01
727,2024-07-11,0,variant,2024-06,2024-07
252,2024-02-16,0,variant,2024-02,2024-02
702,2024-03-06,0,variant,2024-03,2024-03
296,2024-04-29,0,variant,2024-04,2024-04
725,2024-03-03,0,control,2024-02,2024-03
720,2024-03-28,0,control,2024-03,2024-03
749,2024-02-15,0,variant,2024-02,2024-02
338,2024-01-11,1,control,2024-01,2024-01
879,2024-05-19,0,control,2024-05,2024-05
53,2024-06-23,0,control,2024-06,2024-06
792,2024-03-11,1,variant,2024-03,2024-03
922,2024-02-06,0,control,2024-01,2024-02
217,2024-06-08,0,variant,2024-06,2024-06
764,2024-05-16,0,control,2024-05,2024-05
188,2024-04-02,0,control,2024-03,2024-04
380,2024-04-24,0,control,2024-04,2024-04
493,2024-07-08,1,control,2024-06,2024-07
41,2024-01-15,0,variant,2024-01,2024-01
157,2024-05-20,0,control,2024-04,2024-05
15,2024-03-14,0,control,2024-01,2024-03
813,2024-03-20,0,variant,2024-03,2024-03
65,2024-05-18,0,control,2024-04,2024-05
857,2024-03-30,1,control,2024-03,2024-03
839,2024-05-10,1,control,2024-05,2024-05
521,2024-01-10,0,variant,2024-01,2024-01
344,2024-03-21,1,variant,2024-03,2024-03
129,2024-03-24,0,control,2024-01,2024-03
648,2024-02-05,0,control,2024-02,2024-02
472,2024-06-30,0,control,2024-06,2024-06
63,2024-03-25,0,control,2024-03,2024-03
139,2024-06-04,0,variant,2024-05,2024-06
499,2024-06-09,0,variant,2024-04,2024-06
593,2024-01-29,0,control,2024-01,2024-01
392,2024-01-17,0,variant,2024-01,2024-01
675,2024-03-27,0,control,2024-03,2024-03
419,2024-05-19,1,control,2024-05,2024-05
289,2024-02-15,0,control,2024-02,2024-02
379,2024-04-02,0,control,2024-03,2024-04
773,2024-06-18,0,variant,2024-06,2024-06
490,2024-03-24,0,control,2024-03,2024-03
231,2024-01-07,0,control,2024-01,2024-01
41,2024-01-22,0,variant,2024-01,2024-01
